F157,F159,F160,F162,F265,F267,F268,F270,F886,F1936,F1938,F2074,F2076,F2182,F2285,F2481,F2578,F2779,F3226,F3228,F3229,F3231,F3337,F3339,F3445,F3447,F3502,F3504,F3908,F3912,F115,F321,F527,F531,F670,F1692,F2082,F2122,F2582,F2678,F2737,F2956,F3836,F3887,F3894,F3924
0.53,0.5,0.51,0.56,0.31,0.19,0.33,0.35,1.0,0.0,0.0,0.953125,0.8125,0.954545455,0.38,1.49,-0.1,-0.18,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0.53,1.09,1.32,1.12,1.0,1.0,0.0,0.009090909,-0.08,-0.12,-0.16,36.0,29814.53,170,30.0,0
0.34,0.33,0.17,0.19,0.27,0.26,0.17,0.18,0.0,0.0,0.0,0.980769231,0.788461538,0.956989247,0.38,1.49,-0.1,-0.18,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,0,0.3,1.19,0.77,0.76,0.0,0.0,0.0,0.0,-0.25,-0.47,-0.05,99.0,371320.98,169,32.0,0
0.42,0.39,0.6,0.56,0.32,0.26,0.57,0.54,0.0,0.0,0.0,0.973684211,0.552631579,0.977777778,0.0,0.0,-0.35,-0.65,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,0,0.43,1.25,1.37,1.68,0.0,0.0,0.0,0.0,-0.21,-0.46,0.0,100.0,546659.78,170,32.0,0
0.71,0.71,0.44,0.43,0.31,0.32,0.31,0.33,0.0,0.0,0.0,0.935714286,0.9,0.906862745,12.5,13.66,6.34,2.95,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,0,0.69,2.02,0.92,1.92,0.0,0.0,0.0,0.0,0.09,-0.46,0.66,56.0,353339.72,170,45.0,0
0.52,0.54,0.6,0.56,0.25,0.25,0.21,0.2,0.0,0.0,0.0,0.915966387,0.764705882,0.920353982,0.0,0.0,-0.27,-0.57,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0.53,0.78,1.23,0.74,0.0,0.0,0.0,0.0,0.65,-0.42,-0.53,63.0,1116.11,171,30.0,0
0.49,0.49,0.68,0.63,0.41,0.42,0.63,0.59,0.0,0.0,0.0,0.920634921,0.793650794,0.885714286,0.0,0.05,-0.52,-0.77,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,0,0.48,1.12,1.0,1.41,0.0,0.0,0.0,0.0,-0.1,-0.51,-0.11,95.0,25610.24,169,50.0,0
0.47,0.49,0.62,0.55,0.27,0.26,0.53,0.44,0.0,0.0,0.0,0.860759494,0.734177215,0.853658537,0.0,2.08,-0.48,-0.17,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.02,3.02,1,0,0.46,1.42,0.97,1.64,0.0,1.0,0.0,0.006097561,-0.04,0.6,-0.01,113.0,1421618.24,170,31.0,0
0.41,0.43,0.29,0.31,0.2,0.19,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.02,1.34,-0.53,-0.25,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,24.2,24.2,0,0,0.43,1.16,1.01,0.76,0.0,2.0,0.0,0.75,0.0,0.58,-0.49,139.0,1000427.0,171,31.0,0
0.45,0.43,0.42,0.39,0.22,0.23,0.18,0.18,0.0,0.0,0.0,1.0,0.722222222,0.984536082,0.01,1.65,-0.49,-0.3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,0,0.45,0.92,1.01,0.75,0.0,0.0,0.0,0.0,0.01,0.38,0.18,118.0,149622.54,169,38.0,0
0.43,0.42,0.45,0.48,0.21,0.19,0.12,0.16,0.0,0.0,0.0,0.974358974,0.615384615,0.985074627,0.82,3.64,-0.17,-0.09,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,0,0.43,0.74,1.1,0.74,0.0,0.0,0.0,0.0,-0.12,0.09,0.15,253.0,670339.43,172,28.0,0
